isin,Symbol,market,Name,Sector,Industry,IndustryCode
US14448C1045,CARG,NASDAQ,CarGurus Inc Class A,,소프트웨어 및 IT서비스,572010
NL0009434992,LYB,S&P500,LyondellBasell,Materials,Specialty Chemicals,
NL0009434992,LYB,NYSE,LyondellBasell Industries NV Class A,,화학,511010
NL0009434992,DLY,NYSE,DoubleLine Yield Opportunities Fund,,다양한 금융서비스,555010
US3755581036,GILD,S&P500,Gilead Sciences,Health Care,Biotechnology,
US3755581036,GILD,NASDAQ,Gilead Sciences Inc,,제약,562010
US3755581036,GIS,S&P500,General Mills,Consumer Staples,Packaged Foods & Meats,
US3755581036,GIS,NYSE,General Mills Inc,,식품 및 담배,541020
US3498531017,FWRD,NASDAQ,Forward Air Corp,,화물 및 물류 서비스,524050
US60770K1079,MRNA,S&P500,Moderna,Health Care,Biotechnology,
US60770K1079,MRNA,NASDAQ,Moderna Inc,,생명과학 및 메디컬 리서치,562020
US8962391004,TRMB,S&P500,Trimble Inc.,Information Technology,Electronic Equipment & Instruments,
US8962391004,TRMB,NASDAQ,Trimble Inc,,소프트웨어 및 IT서비스,572010
CA53680Q2071,LAC,NYSE,Lithium Americas Corp,,메탈&마이닝,512010
IL0011267213,SSYS,NASDAQ,Stratasys Ltd,,전자 장비 및 부품,571040
CH0025751329,LOGI,NASDAQ,Logitech International SA,,"컴퓨터, 전화 및 가전제품",571060
US88034P1093,TME,NYSE,Tencent Music Entertainment Group ADR Class A,,소프트웨어 및 IT서비스,572010
US42806J7000,HTZ,NASDAQ,Hertz Global Holdings Inc,,운송업,524060
US98954M2008,Z,NASDAQ,Zillow Group Inc Class C,,부동산 운영 관리,601010
US90138F1021,TWLO,NYSE,Twilio Inc Class A,,소프트웨어 및 IT서비스,572010
US98980G1022,ZS,NASDAQ,Zscaler Inc,,소프트웨어 및 IT서비스,572010
IL0011582033,FVRR,NYSE,Fiverr International Ltd,,소프트웨어 및 IT서비스,572010
US98980L1017,ZM,NASDAQ,Zoom Video Communications Inc Class A,,소프트웨어 및 IT서비스,572010
KYG508751065,JCSE,NASDAQ,JE Cleantech Holdings Ltd,,"건설장비 및 대형차, 기차, 배",521020
US82621J1051,SIEN,NASDAQ,Sientra Inc,,헬스케어 장비 및 용품,561010
US7493604000,RCMT,NASDAQ,R C M Technologies Inc,,건설 및 엔지니어링,522010
US14365C1036,CUK,NYSE,Carnival PLC ADR,,호텔 및 엔터테인먼트,533010
US0352551081,ANIK,NASDAQ,Anika Therapeutics Inc,,제약,562010
CA2483561072,DNN,AMEX,Denison Mines Corp,,우라늄,503010
KYG687071012,PAGS,NYSE,PagSeguro Digital Ltd Class A,,전문 및 상업 서비스,522030
US6374171063,NNN,NYSE,National Retail Properties Inc,,주택 및 상업용 리츠,601020
US9033181036,USDP,NYSE,USD Partners Units,,운송 인프라,524070
US75971T3014,SOL,NYSE,ReneSola Ltd ADR,,건설 및 엔지니어링,522010
KYG1329V2058,BHAT,NASDAQ,Blue Hat Interactive Entertainment Technology,,레저 상품,532050
US74765K1051,QSI,NASDAQ,Quantum-Si Inc Class A,,반도체 및 반도체 장비,571010
IL0011595993,INMD,NASDAQ,Inmode Ltd,,헬스케어 장비 및 용품,561010
US44916K1060,HYPR,NASDAQ,Hyperfine Inc Class A,,헬스케어 장비 및 용품,561010
US97265W1053,WBEV,AMEX,Winc Inc,,음료,541010
JP3436100006,9984,TSE,SoftBank Group Corp,,통신 서비스,574010
CNE000001GS3,600438,SSE,Tongwei Co Ltd Class A,,재생에너지,502010
US4062161017,HAL,S&P500,Halliburton,Energy,Oil & Gas Equipment & Services,
